fSpeciesID,fTaxonomyID,fLSID,fWoRMID,fSpeciesName,fCommonName,fFeatures,fColour,fSize,fDistribution,fSimilar,fReferences,fNotes,fFAFFCode,fHabitat,fFishBoard,fBoxColor,fGenus,fPhylum,fClass,fOrder,fFamily,fSpecies
2533,NULL,0,0,'Adeonella spp.','Sabre bryozoan',' ',' ',' ',' ',' ',' ',' ',' ',' ','Adeon','#FF0000','Adeonella','Bryozoa','Gymnolaemata','Cheilostomatida','Adeonellidae','spp.'
2534,NULL,0,0,'Alcyonidium rhomboidale','Rubbery bryozoan',' ',' ',' ',' ',' ',' ',' ',' ',' ','AlcSpp','#FF0001','Alcyonidium','Bryozoa','Gymnolaemata','Ctenostomatida','Alcyonidiidae','rhomboidale'
